ds,table_name,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count,pg_table_size
1650370316.9374392,public.customer,16772,public,customer,2,0,3002824,3757968,1500000,904,0,120,1500090,865,60904,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,930004992
1650370316.9374392,public.district,16762,public,district,1019951,169098900,1982371,1982371,500,910,0,910,500,1,0,500,,,,2022-04-19 08:45:36.617218+00:00,0,0,0,9,90112
1650370316.9374392,public.history,16785,public,history,0,0,,,1500464,0,0,0,1500464,0,60464,60464,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129540096
1650370316.9374392,public.item,16742,public,item,1,0,5004466,5004461,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650370316.9374392,public.new_order,16812,public,new_order,1,0,880,880,450446,0,440,0,450001,445,18881,18446,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19980288
1650370316.9374392,public.oorder,16799,public,oorder,3,0,15457498,15457498,1500446,440,0,347,1500441,109,60881,60446,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98902016
1650370316.9374392,public.order_line,16822,public,order_line,1,0,959,16296,15006130,4245,0,3143,15006281,1468,609818,1984478,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1518247936
1650370316.9374392,public.savings,17148,public,savings,1,0,0,0,50000000,0,0,0,49989032,0,3026176,7738368,,2022-04-19 11:54:50.879640+00:00,,2022-04-19 12:04:41.742043+00:00,0,18,0,29,2214993920
1650370316.9374392,public.stock,16747,public,stock,1,0,15022405,738101052,5000000,4409,0,2632,5000428,1779,204409,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778696192
1650370316.9374392,public.warehouse,16737,public,warehouse,1231,61500,5000645,5000645,50,464,0,464,50,13,0,50,,,,2022-04-19 08:45:36.778636+00:00,0,0,0,4,8192
1650370317.0411043,public.accounts,17142,public,accounts,2,0,100000000,100000000,50000000,0,0,0,49984519,0,2562048,6204544,,2022-04-19 11:58:09.396049+00:00,,2022-04-19 12:05:42.243910+00:00,0,18,0,29,5463048192
1650370317.0411043,public.checking,17158,public,checking,1,0,0,0,50000000,0,0,0,49988254,0,2549376,6136960,,2022-04-19 11:58:21.703427+00:00,,2022-04-19 12:05:43.864689+00:00,0,18,0,29,2215084032
1650370317.0411043,public.customer,16772,public,customer,2,0,3002824,3757968,1500000,904,0,120,1500090,865,60904,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,930004992
1650370317.0411043,public.district,16762,public,district,1019951,169098900,1982371,1982371,500,910,0,910,500,1,0,500,,,,2022-04-19 08:45:36.617218+00:00,0,0,0,9,90112
1650370317.0411043,public.history,16785,public,history,0,0,,,1500464,0,0,0,1500464,0,60464,60464,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129540096
1650370317.0411043,public.item,16742,public,item,1,0,5004466,5004461,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650370317.0411043,public.new_order,16812,public,new_order,1,0,880,880,450446,0,440,0,450001,445,18881,18446,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19980288
1650370317.0411043,public.oorder,16799,public,oorder,3,0,15457498,15457498,1500446,440,0,347,1500441,109,60881,60446,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98902016
1650370317.0411043,public.order_line,16822,public,order_line,1,0,959,16296,15006130,4245,0,3143,15006281,1468,609818,1984478,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1518247936
1650370317.0411043,public.savings,17148,public,savings,1,0,0,0,50000000,0,0,0,49989032,0,3026176,7738368,,2022-04-19 11:54:50.879640+00:00,,2022-04-19 12:04:41.742043+00:00,0,18,0,29,2214993920
1650370317.0411043,public.stock,16747,public,stock,1,0,15022405,738101052,5000000,4409,0,2632,5000428,1779,204409,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778696192
1650370317.0411043,public.warehouse,16737,public,warehouse,1231,61500,5000645,5000645,50,464,0,464,50,13,0,50,,,,2022-04-19 08:45:36.778636+00:00,0,0,0,4,8192
1650370317.1441722,public.accounts,17142,public,accounts,2,0,100000000,100000000,50000000,0,0,0,49984519,0,2562048,6204544,,2022-04-19 11:58:09.396049+00:00,,2022-04-19 12:05:42.243910+00:00,0,18,0,29,5463048192
1650370317.1441722,public.checking,17158,public,checking,1,0,0,0,50000000,0,0,0,49988254,0,2549376,6136960,,2022-04-19 11:58:21.703427+00:00,,2022-04-19 12:05:43.864689+00:00,0,18,0,29,2215084032
1650370317.1441722,public.customer,16772,public,customer,2,0,3002824,3757968,1500000,904,0,120,1500090,865,60904,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,930004992
1650370317.1441722,public.district,16762,public,district,1019951,169098900,1982371,1982371,500,910,0,910,500,1,0,500,,,,2022-04-19 08:45:36.617218+00:00,0,0,0,9,90112
1650370317.1441722,public.history,16785,public,history,0,0,,,1500464,0,0,0,1500464,0,60464,60464,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129540096
1650370317.1441722,public.item,16742,public,item,1,0,5004466,5004461,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650370317.1441722,public.new_order,16812,public,new_order,1,0,880,880,450446,0,440,0,450001,445,18881,18446,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19980288
1650370317.1441722,public.oorder,16799,public,oorder,3,0,15457498,15457498,1500446,440,0,347,1500441,109,60881,60446,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98902016
1650370317.1441722,public.order_line,16822,public,order_line,1,0,959,16296,15006130,4245,0,3143,15006281,1468,609818,1984478,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1518247936
1650370317.1441722,public.savings,17148,public,savings,1,0,0,0,50000000,0,0,0,49989032,0,3026176,7738368,,2022-04-19 11:54:50.879640+00:00,,2022-04-19 12:04:41.742043+00:00,0,18,0,29,2214993920
1650370317.1441722,public.stock,16747,public,stock,1,0,15022405,738101052,5000000,4409,0,2632,5000428,1779,204409,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778696192
1650370317.1441722,public.warehouse,16737,public,warehouse,1231,61500,5000645,5000645,50,464,0,464,50,13,0,50,,,,2022-04-19 08:45:36.778636+00:00,0,0,0,4,8192
1650370317.2472854,public.accounts,17142,public,accounts,2,0,100000000,100000000,50000000,0,0,0,49984519,0,2562048,6204544,,2022-04-19 11:58:09.396049+00:00,,2022-04-19 12:05:42.243910+00:00,0,18,0,29,5463048192
1650370317.2472854,public.checking,17158,public,checking,1,0,0,0,50000000,0,0,0,49988254,0,2549376,6136960,,2022-04-19 11:58:21.703427+00:00,,2022-04-19 12:05:43.864689+00:00,0,18,0,29,2215084032
1650370317.2472854,public.customer,16772,public,customer,2,0,3002824,3757968,1500000,904,0,120,1500090,865,60904,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,930004992
1650370317.2472854,public.district,16762,public,district,1019951,169098900,1982371,1982371,500,910,0,910,500,1,0,500,,,,2022-04-19 08:45:36.617218+00:00,0,0,0,9,90112
1650370317.2472854,public.history,16785,public,history,0,0,,,1500464,0,0,0,1500464,0,60464,60464,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129540096
1650370317.2472854,public.item,16742,public,item,1,0,5004466,5004461,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650370317.2472854,public.new_order,16812,public,new_order,1,0,880,880,450446,0,440,0,450001,445,18881,18446,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19980288
1650370317.2472854,public.oorder,16799,public,oorder,3,0,15457498,15457498,1500446,440,0,347,1500441,109,60881,60446,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98902016
1650370317.2472854,public.order_line,16822,public,order_line,1,0,959,16296,15006130,4245,0,3143,15006281,1468,609818,1984478,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1518247936
1650370317.2472854,public.savings,17148,public,savings,1,0,0,0,50000000,0,0,0,49989032,0,3026176,7738368,,2022-04-19 11:54:50.879640+00:00,,2022-04-19 12:04:41.742043+00:00,0,18,0,29,2214993920
1650370317.2472854,public.stock,16747,public,stock,1,0,15022405,738101052,5000000,4409,0,2632,5000428,1779,204409,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778696192
1650370317.2472854,public.warehouse,16737,public,warehouse,1231,61500,5000645,5000645,50,464,0,464,50,13,0,50,,,,2022-04-19 08:45:36.778636+00:00,0,0,0,4,8192
1650370317.3504417,public.accounts,17142,public,accounts,2,0,100000000,100000000,50000000,0,0,0,49984519,0,2562048,6204544,,2022-04-19 11:58:09.396049+00:00,,2022-04-19 12:05:42.243910+00:00,0,18,0,29,5463048192
1650370317.3504417,public.checking,17158,public,checking,1,0,0,0,50000000,0,0,0,49988254,0,2549376,6136960,,2022-04-19 11:58:21.703427+00:00,,2022-04-19 12:05:43.864689+00:00,0,18,0,29,2215084032
1650370317.3504417,public.customer,16772,public,customer,2,0,3002824,3757968,1500000,904,0,120,1500090,865,60904,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,930004992
1650370317.3504417,public.district,16762,public,district,1019951,169098900,1982371,1982371,500,910,0,910,500,1,0,500,,,,2022-04-19 08:45:36.617218+00:00,0,0,0,9,90112
1650370317.3504417,public.history,16785,public,history,0,0,,,1500464,0,0,0,1500464,0,60464,60464,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129540096
1650370317.3504417,public.item,16742,public,item,1,0,5004466,5004461,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650370317.3504417,public.new_order,16812,public,new_order,1,0,880,880,450446,0,440,0,450001,445,18881,18446,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19980288
1650370317.3504417,public.oorder,16799,public,oorder,3,0,15457498,15457498,1500446,440,0,347,1500441,109,60881,60446,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98902016
1650370317.3504417,public.order_line,16822,public,order_line,1,0,959,16296,15006130,4245,0,3143,15006281,1468,609818,1984478,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1518247936
1650370317.3504417,public.savings,17148,public,savings,1,0,0,0,50000000,0,0,0,49989032,0,3026176,7738368,,2022-04-19 11:54:50.879640+00:00,,2022-04-19 12:04:41.742043+00:00,0,18,0,29,2214993920
1650370317.3504417,public.stock,16747,public,stock,1,0,15022405,738101052,5000000,4409,0,2632,5000428,1779,204409,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778696192
1650370317.3504417,public.warehouse,16737,public,warehouse,1231,61500,5000645,5000645,50,464,0,464,50,13,0,50,,,,2022-04-19 08:45:36.778636+00:00,0,0,0,4,8192
1650370317.4535222,public.accounts,17142,public,accounts,2,0,100000000,100000000,50000000,0,0,0,49984519,0,2562048,6204544,,2022-04-19 11:58:09.396049+00:00,,2022-04-19 12:05:42.243910+00:00,0,18,0,29,5463048192
1650370317.4535222,public.checking,17158,public,checking,1,0,0,0,50000000,0,0,0,49988254,0,2549376,6136960,,2022-04-19 11:58:21.703427+00:00,,2022-04-19 12:05:43.864689+00:00,0,18,0,29,2215084032
1650370317.4535222,public.customer,16772,public,customer,2,0,3002824,3757968,1500000,904,0,120,1500090,865,60904,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,930004992
1650370317.4535222,public.district,16762,public,district,1019951,169098900,1982371,1982371,500,910,0,910,500,1,0,500,,,,2022-04-19 08:45:36.617218+00:00,0,0,0,9,90112
1650370317.4535222,public.history,16785,public,history,0,0,,,1500464,0,0,0,1500464,0,60464,60464,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129540096
1650370317.4535222,public.item,16742,public,item,1,0,5004466,5004461,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650370317.4535222,public.new_order,16812,public,new_order,1,0,880,880,450446,0,440,0,450001,445,18881,18446,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19980288
1650370317.4535222,public.oorder,16799,public,oorder,3,0,15457498,15457498,1500446,440,0,347,1500441,109,60881,60446,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98902016
1650370317.4535222,public.order_line,16822,public,order_line,1,0,959,16296,15006130,4245,0,3143,15006281,1468,609818,1984478,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1518247936
1650370317.4535222,public.savings,17148,public,savings,1,0,0,0,50000000,0,0,0,49989032,0,3026176,7738368,,2022-04-19 11:54:50.879640+00:00,,2022-04-19 12:04:41.742043+00:00,0,18,0,29,2214993920
1650370317.4535222,public.stock,16747,public,stock,1,0,15022405,738101052,5000000,4409,0,2632,5000428,1779,204409,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778696192
1650370317.4535222,public.warehouse,16737,public,warehouse,1231,61500,5000645,5000645,50,464,0,464,50,13,0,50,,,,2022-04-19 08:45:36.778636+00:00,0,0,0,4,8192
1650370317.5563784,public.accounts,17142,public,accounts,2,0,100000000,100000000,50000000,0,0,0,49984519,0,2562048,6204544,,2022-04-19 11:58:09.396049+00:00,,2022-04-19 12:05:42.243910+00:00,0,18,0,29,5463048192
1650370317.5563784,public.checking,17158,public,checking,1,0,0,0,50000000,0,0,0,49988254,0,2549376,6136960,,2022-04-19 11:58:21.703427+00:00,,2022-04-19 12:05:43.864689+00:00,0,18,0,29,2215084032
1650370317.5563784,public.customer,16772,public,customer,2,0,3002824,3757968,1500000,904,0,120,1500090,865,60904,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,930004992
1650370317.5563784,public.district,16762,public,district,1019951,169098900,1982371,1982371,500,910,0,910,500,1,0,500,,,,2022-04-19 08:45:36.617218+00:00,0,0,0,9,90112
1650370317.5563784,public.history,16785,public,history,0,0,,,1500464,0,0,0,1500464,0,60464,60464,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129540096
1650370317.5563784,public.item,16742,public,item,1,0,5004466,5004461,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650370317.5563784,public.new_order,16812,public,new_order,1,0,880,880,450446,0,440,0,450001,445,18881,18446,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19980288
1650370317.5563784,public.oorder,16799,public,oorder,3,0,15457498,15457498,1500446,440,0,347,1500441,109,60881,60446,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98902016
1650370317.5563784,public.order_line,16822,public,order_line,1,0,959,16296,15006130,4245,0,3143,15006281,1468,609818,1984478,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1518247936
1650370317.5563784,public.savings,17148,public,savings,1,0,0,0,50000000,0,0,0,49989032,0,3026176,7738368,,2022-04-19 11:54:50.879640+00:00,,2022-04-19 12:04:41.742043+00:00,0,18,0,29,2214993920
1650370317.5563784,public.stock,16747,public,stock,1,0,15022405,738101052,5000000,4409,0,2632,5000428,1779,204409,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778696192
1650370317.5563784,public.warehouse,16737,public,warehouse,1231,61500,5000645,5000645,50,464,0,464,50,13,0,50,,,,2022-04-19 08:45:36.778636+00:00,0,0,0,4,8192
1650370317.6593559,public.accounts,17142,public,accounts,2,0,100000000,100000000,50000000,0,0,0,49984519,0,2562048,6204544,,2022-04-19 11:58:09.396049+00:00,,2022-04-19 12:05:42.243910+00:00,0,18,0,29,5463048192
1650370317.6593559,public.checking,17158,public,checking,1,0,0,0,50000000,0,0,0,49988254,0,2549376,6136960,,2022-04-19 11:58:21.703427+00:00,,2022-04-19 12:05:43.864689+00:00,0,18,0,29,2215084032
1650370317.6593559,public.customer,16772,public,customer,2,0,3002824,3757968,1500000,904,0,120,1500090,865,60904,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,930004992
1650370317.6593559,public.district,16762,public,district,1019951,169098900,1982371,1982371,500,910,0,910,500,1,0,500,,,,2022-04-19 08:45:36.617218+00:00,0,0,0,9,90112
1650370317.6593559,public.history,16785,public,history,0,0,,,1500464,0,0,0,1500464,0,60464,60464,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129540096
1650370317.6593559,public.item,16742,public,item,1,0,5004466,5004461,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650370317.6593559,public.new_order,16812,public,new_order,1,0,880,880,450446,0,440,0,450001,445,18881,18446,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19980288
1650370317.6593559,public.oorder,16799,public,oorder,3,0,15457498,15457498,1500446,440,0,347,1500441,109,60881,60446,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98902016
1650370317.6593559,public.order_line,16822,public,order_line,1,0,959,16296,15006130,4245,0,3143,15006281,1468,609818,1984478,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1518247936
1650370317.6593559,public.savings,17148,public,savings,1,0,0,0,50000000,0,0,0,49989032,0,3026176,7738368,,2022-04-19 11:54:50.879640+00:00,,2022-04-19 12:04:41.742043+00:00,0,18,0,29,2214993920
1650370317.6593559,public.stock,16747,public,stock,1,0,15022405,738101052,5000000,4409,0,2632,5000428,1779,204409,200000,,2022-04-19 08:37:48.189043+00:00,,2022-04-19 08:37:50.641661+00:00,0,11,0,15,1778696192
1650370317.6593559,public.warehouse,16737,public,warehouse,1231,61500,5000645,5000645,50,464,0,464,50,13,0,50,,,,2022-04-19 08:45:36.778636+00:00,0,0,0,4,8192
1650370317.762891,public.accounts,17142,public,accounts,2,0,100000000,100000000,50000000,0,0,0,49984519,0,2562048,6204544,,2022-04-19 11:58:09.396049+00:00,,2022-04-19 12:05:42.243910+00:00,0,18,0,29,5463048192
1650370317.762891,public.checking,17158,public,checking,1,0,0,0,50000000,0,0,0,49988254,0,2549376,6136960,,2022-04-19 11:58:21.703427+00:00,,2022-04-19 12:05:43.864689+00:00,0,18,0,29,2215084032
1650370317.762891,public.customer,16772,public,customer,2,0,3002824,3757968,1500000,904,0,120,1500090,865,60904,60000,,2022-04-19 08:38:43.333654+00:00,,2022-04-19 08:38:44.714853+00:00,0,8,0,11,930004992
1650370317.762891,public.district,16762,public,district,1019951,169098900,1982371,1982371,500,910,0,910,500,1,0,500,,,,2022-04-19 08:45:36.617218+00:00,0,0,0,9,90112
1650370317.762891,public.history,16785,public,history,0,0,,,1500464,0,0,0,1500464,0,60464,60464,,2022-04-19 08:38:45.773484+00:00,,2022-04-19 08:38:46.315796+00:00,0,8,0,11,129540096
1650370317.762891,public.item,16742,public,item,1,0,5004466,5004461,100000,0,0,0,100000,0,0,0,,2022-04-19 08:02:37.097546+00:00,,2022-04-19 08:02:37.247203+00:00,0,1,0,1,10444800
1650370317.762891,public.new_order,16812,public,new_order,1,0,880,880,450446,0,440,0,450001,445,18881,18446,,2022-04-19 08:38:47.877870+00:00,,2022-04-19 08:38:47.983742+00:00,0,8,0,11,19980288
1650370317.762891,public.oorder,16799,public,oorder,3,0,15457498,15457498,1500446,440,0,347,1500441,109,60881,60446,,2022-04-19 08:38:47.164969+00:00,,2022-04-19 08:38:47.569914+00:00,0,8,0,11,98902016
1650370317.762891,public.order_line,16822,public,order_line,1,0,959,16296,15006130,4245,0,3143,15006281,1468,609818,1984478,,2022-04-19 08:36:45.762948+00:00,,2022-04-19 08:40:38.145078+00:00,0,12,0,19,1518247936
